id,price
1,54152.46
2,65844.3
3,23321.24
4,2267.35
5,5540.24
6,6479.89
7,3802.12
8,13367.49
9,4745.83
10,21343.71
11,4203.36
12,4728.82
13,4486.08
14,51929.88
15,39499.0
16,53928.74
17,55940.4
18,6516.15
19,72760.51
20,5438.2462857142855
21,6905.63
22,65099.59
23,45376.52
24,5788.78
25,5299.47
26,4135.94
27,6032.0
28,5539.25
29,4071.36
30,6575.85
31,5415.11
32,66580.53
33,60182.62
34,53866.27
35,8223.27
36,5743.97
37,5003.47
38,45529.09
39,5299.06
40,2318.82
41,10061.76
42,78270.95
43,5232.08
44,3448.44
45,12922.71
46,3269.38
47,5841.58
48,10966.1
49,68913.4
50,7057.68
51,5587.42
52,3250.36
53,6601.32
54,4466.1
55,7269.87
56,2825.15
57,4237.83
58,39403.3
59,3223.72
60,66464.43
61,11043.88
62,45831.33
63,6531.87
64,10563.68
65,55956.79
66,59213.1
67,45374.39
68,13446.74
69,49513.09
70,45002.72
71,5419.77
72,6738.93
73,10564.01
74,7477.05
75,13216.35
76,6466.6
77,6646.45
78,3491.9
79,64944.93
80,10447.16
81,5114.9
82,6620.3
83,7112.19
84,8797.48
85,33772.0
86,59653.25
87,4941.46
88,12722.34
89,60160.13
90,4399.37
91,4164.99
92,62186.31
93,56571.41
94,82470.42
95,42693.22
96,4214.75
97,6231.39
98,14667.97
99,6330.23
100,69713.86
101,5369.245
102,7993.3
103,6673.77
104,2794.07
105,4975.43
106,7497.35
107,55170.8
108,55351.66
109,41426.58
110,2408.66
111,44032.09
112,52125.73
113,9759.5
114,3243.8
115,3590.31
116,3959.32
117,6129.83
118,2891.25
119,6019.25
120,15534.47
121,58236.35
122,13418.78
123,5629.02
124,45744.75
125,5611.88
126,6641.02
127,6846.83
128,12284.31
129,64486.78
130,3322.08
131,6291.37
132,55907.53
133,5998.65
134,6130.48
135,3940.09
136,43874.79
137,4787.77
138,7587.66
139,3935.47
140,4849.36
141,3411.08
142,51644.95
143,8119.29
144,1723.84
145,54584.79
146,2884.8
147,6213.5
148,11273.6
